Testing Kafka

7223281 records sent, 1444656.2 records/sec (13.78 MB/sec), 2.0 ms avg latency, 114.0 max latency.
8306422 records sent, 1661284.4 records/sec (15.84 MB/sec), 0.9 ms avg latency, 7.0 max latency.
7281233 records sent, 1456246.6 records/sec (13.89 MB/sec), 1.3 ms avg latency, 19.0 max latency.
8384541 records sent, 1676908.2 records/sec (15.99 MB/sec), 1.3 ms avg latency, 98.0 max latency.
7918588 records sent, 1583717.6 records/sec (15.10 MB/sec), 1.0 ms avg latency, 35.0 max latency.
8667227 records sent, 1733445.4 records/sec (16.53 MB/sec), 0.9 ms avg latency, 7.0 max latency.
8468216 records sent, 1693643.2 records/sec (16.15 MB/sec), 1.6 ms avg latency, 131.0 max latency.
8715526 records sent, 1743105.2 records/sec (16.62 MB/sec), 0.9 ms avg latency, 8.0 max latency.
8651257 records sent, 1730251.4 records/sec (16.50 MB/sec), 2.1 ms avg latency, 174.0 max latency.
8819168 records sent, 1763833.6 records/sec (16.82 MB/sec), 0.8 ms avg latency, 7.0 max latency.
7975103 records sent, 1595020.6 records/sec (15.21 MB/sec), 1.3 ms avg latency, 84.0 max latency.
8761457 records sent, 1752291.4 records/sec (16.71 MB/sec), 0.8 ms avg latency, 7.0 max latency.
7172684 records sent, 1434536.8 records/sec (13.68 MB/sec), 3.2 ms avg latency, 187.0 max latency.
8708796 records sent, 1741759.2 records/sec (16.61 MB/sec), 0.8 ms avg latency, 6.0 max latency.
7021617 records sent, 1404323.4 records/sec (13.39 MB/sec), 3.2 ms avg latency, 202.0 max latency.
8428923 records sent, 1685784.6 records/sec (16.08 MB/sec), 0.8 ms avg latency, 7.0 max latency.
8415084 records sent, 1683016.8 records/sec (16.05 MB/sec), 1.3 ms avg latency, 108.0 max latency.
7171788 records sent, 1434357.6 records/sec (13.68 MB/sec), 1.3 ms avg latency, 17.0 max latency.
6892178 records sent, 1378435.6 records/sec (13.15 MB/sec), 2.8 ms avg latency, 169.0 max latency.
7786660 records sent, 1557332.0 records/sec (14.85 MB/sec), 1.1 ms avg latency, 7.0 max latency.
8784499 records sent, 1756899.8 records/sec (16.76 MB/sec), 0.8 ms avg latency, 7.0 max latency.
7854247 records sent, 1570849.4 records/sec (14.98 MB/sec), 1.8 ms avg latency, 134.0 max latency.
